,Oil_store,Address,Price,Self,Brand,Location
0,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),1509.0,Y,현대오일뱅크,강동구
1,구천면주유소,서울 강동구 구천면로 357 (암사동),1593.0,N,현대오일뱅크,강동구
2,방아다리주유소,서울 강동구 동남로 811 (명일동),1628.0,Y,SK에너지,강동구
3,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),1628.0,Y,S-OIL,강동구
4,현대오일뱅크㈜직영 명일셀프주유소,서울 강동구 고덕로 168 (명일동),1635.0,Y,현대오일뱅크,강동구
5,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),1635.0,Y,GS칼텍스,강동구
6,대성석유(주)직영 길동주유소,서울 강동구 천호대로 1168,1638.0,N,GS칼텍스,강동구
7,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),1643.0,N,SK에너지,강동구
8,현대오일뱅크㈜직영 암사셀프주유소,서울 강동구 올림픽로 749 (암사동),1645.0,Y,현대오일뱅크,강동구
9,지에스칼텍스㈜ 신월주유소,서울 강동구 양재대로 1323 (성내동),1649.0,N,GS칼텍스,강동구
10,sk해뜨는주유소,서울 강동구  상일로 132 (강일동),1649.0,Y,SK에너지,강동구
11,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),1658.0,N,GS칼텍스,강동구
12,천호현대주유소,서울 강동구 천중로 67 (천호동),1677.0,N,현대오일뱅크,강동구
13,(주)소모에너지엔테크놀러지 성내주유소,서울 강동구 올림픽로 578 (성내동),1708.0,Y,GS칼텍스,강동구
14,광성주유소,서울 강동구 올림픽로 673 (천호동),1708.0,N,S-OIL,강동구
15,강동주유소,서울 강동구 양재대로 1509 (길동),2058.0,N,SK에너지,강동구
0,풍한주유소,서울 동대문구 안암로 168,1515.0,N,SK에너지,동대문구
1,열린주유소,서울 동대문구 한천로 263 (휘경동),1524.0,N,S-OIL,동대문구
2,재정제2주유소,서울 동대문구 사가정로 90 (전농동),1529.0,Y,현대오일뱅크,동대문구
3,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),1529.0,Y,SK에너지,동대문구
4,재정주유소,서울 동대문구 전농로 121 (전농동),1529.0,N,현대오일뱅크,동대문구
5,(주)경동주유소,서울 동대문구 이문로 191 (이문동),1537.0,Y,S-OIL,동대문구
6,(주)파랑에너지,서울 동대문구 망우로 126,1539.0,Y,GS칼텍스,동대문구
7,답십리주유소,서울 동대문구 답십리로 223 (답십리동),1544.0,N,SK에너지,동대문구
